"source_college","target_university","major","academic_year","required_uc_course_or_area","articulated_ccsf_course","notes","raw_agreement_url_or_id"
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 118","ART 109","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 123V","ART 118","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 123W","ART 123V","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 146A","ART 123W","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ART 170A","ART 146A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 15","ART 170A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ASIA 30","ASIA 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHIN 39","ASIA 30","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 18","CHIN 39","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 19","CINE 18","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 20A","CINE 19","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 20B","CINE 20A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 21","CINE 20B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 22","CINE 21","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 23A","CINE 22","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CINE 23B","CINE 23A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CLAS 35","CINE 23B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","DANC 30","CLAS 35","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 30B","ENGL 30A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 35A","ENGL 30B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 35B","ENGL 35A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 35C","ENGL 35B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 35D","ENGL 35C","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 43","ENGL 35D","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 44A","ENGL 43","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 44B","ENGL 44A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 46A","ENGL 44B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 46B","ENGL 46A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 46C","ENGL 46B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 48C","ENGL 46C","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 48K","ENGL 48C","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 52","ENGL 48K","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 57","ENGL 52","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENGL 58","ENGL 57","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","FREN 41","ENGL 58","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","FREN 42","FREN 41","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HIST 41A","FREN 42","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","AFRICAM 5B","HIST 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 12","HUM 11","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 20","HUM 12","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 25","HUM 20","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 41A","HUM 25","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 41B","HUM 41A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","HUM 48","HUM 41B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 14","HUM 48","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 27B","IDST 14","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 31","IDST 27B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 36","IDST 31","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHST 42","IDST 36","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 46","PHST 42","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","IDST 47","IDST 46","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","JAPA 39","IDST 47","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 11","JAPA 39","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 12","LGBT 11","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 15","LGBT 12","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 18","LGBT 15","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 20","LGBT 18","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 55","LGBT 20","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","LGBT 75","LGBT 55","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 21","LGBT 75","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 22A","MUS 21","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 22B","MUS 22A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 22C","MUS 22B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 23","MUS 22C","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 24","MUS 23","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 25","MUS 24","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 26","MUS 25","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 27A","MUS 26","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 27B","MUS 27A","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 27R","MUS 27B","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","MUS 28","MUS 27R","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHOT 50A","MUS 28","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHOT 50B","PHOT 50A","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CMST 7","PHOT 50B","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","WGST 10","VMD 110","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ANTHRO 2","ANTH 1","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 9","ASTR 4","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 10","BIO 9","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 11","BIO 10","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 12","BIO 11","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 19","BIO 12","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","ENVS 31","BIO 19","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 40","BIO 32","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 51","BIO 40","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 100A","BIO 51","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIOLOGY 1B","BIO 100A","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","CHEM 1A","BIO 100B","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 108","BIO 106","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 111","BIO 108","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","PHYSICS 7C","BIO 111","5.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 114","BIO 112","4.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 119","BIO 114","3.00 units",""
"CCSF","UC Berkeley","2025-2026 All Majors Agreement","","BIO 120","BIO 119","3.00 units",""
